department,level,title,description
Physics,300 Level,PHY302 - Electromagnetic Theory,Study Maxwell equations electromagnetic waves radiation and antenna theory
Physics,300 Level,PHY303 - Solid State Physics,Explore crystal structure band theory semiconductors and superconductivity
Physics,300 Level,PHY304 - Atomic and Nuclear Physics,Study atomic spectra nuclear structure radioactivity and nuclear reactions
Physics,400 Level,PHY401 - Quantum Mechanics II,Advanced study of perturbation theory scattering theory and relativistic quantum mechanics
Physics,400 Level,PHY402 - Particle Physics,Learn elementary particles fundamental forces gauge theories and the Standard Model
Physics,400 Level,PHY403 - Astrophysics and Cosmology,Study stellar structure evolution galaxies dark matter dark energy and the Big Bang theory
Physics,400 Level,PHY404 - Condensed Matter Physics,Explore many-body systems phase transitions magnetism and advanced materials
Physics,500 Level,PHY501 - Advanced Quantum Field Theory,Study quantum electrodynamics quantum chromodynamics and advanced field theory techniques
Physics,500 Level,PHY502 - Theoretical Physics Research,Conduct research in theoretical physics with focus on contemporary physics problems
Physics,500 Level,PHY503 - Computational Physics,Learn numerical methods Monte Carlo simulations and computational techniques for physics problems
Chemistry,100 Level,CHM101 - General Chemistry I,Study atomic structure chemical bonding stoichiometry and states of matter
Chemistry,100 Level,CHM102 - General Chemistry II,Learn chemical kinetics thermodynamics equilibrium and electrochemistry fundamentals
Chemistry,100 Level,CHM103 - Introduction to Laboratory Techniques,Develop skills in chemical measurements titrations separations and laboratory safety
Chemistry,200 Level,CHM201 - Organic Chemistry I,Study structure properties and reactions of organic compounds including alkanes alkenes and alkynes
Chemistry,200 Level,CHM202 - Organic Chemistry II,Learn aromatic compounds aldehydes ketones carboxylic acids and synthetic organic chemistry
Chemistry,200 Level,CHM203 - Analytical Chemistry,Study quantitative analysis spectroscopy chromatography and analytical instrumentation
Chemistry,200 Level,CHM204 - Physical Chemistry I,Learn thermodynamics quantum mechanics and statistical mechanics applied to chemical systems
Chemistry,300 Level,CHM301 - Inorganic Chemistry,Study coordination compounds organometallic chemistry and solid-state chemistry
Chemistry,300 Level,CHM302 - Physical Chemistry II,Explore chemical kinetics surface chemistry and advanced thermodynamics
Chemistry,300 Level,CHM303 - Biochemistry,Learn biomolecules enzymes metabolism and molecular biology fundamentals
Chemistry,300 Level,CHM304 - Instrumental Analysis,Study NMR mass spectrometry IR spectroscopy and modern analytical techniques
Chemistry,400 Level,CHM401 - Advanced Organic Synthesis,Learn retrosynthetic analysis complex synthesis strategies and modern synthetic methods
Chemistry,400 Level,CHM402 - Environmental Chemistry,Study atmospheric chemistry water chemistry pollution and environmental remediation
Chemistry,400 Level,CHM403 - Medicinal Chemistry,Explore drug design pharmacology drug metabolism and pharmaceutical chemistry
Chemistry,400 Level,CHM404 - Polymer Chemistry,Learn polymer synthesis characterization properties and applications of polymeric materials
Chemistry,500 Level,CHM501 - Advanced Physical Chemistry,Study statistical mechanics molecular spectroscopy and quantum chemistry
Chemistry,500 Level,CHM502 - Computational Chemistry,Learn molecular modeling quantum chemical calculations and computational methods in chemistry
Chemistry,500 Level,CHM503 - Chemical Research Methods,Conduct independent research in chemistry with focus on contemporary chemical problems
Biology,100 Level,BIO101 - Introduction to Biology,Study cell structure function biodiversity evolution and ecological principles
Biology,100 Level,BIO102 - Cell Biology and Genetics,Learn cellular processes DNA RNA protein synthesis and Mendelian genetics
Biology,100 Level,BIO103 - General Microbiology,Explore bacteria viruses fungi microbial growth and microorganism control
Biology,200 Level,BIO201 - Human Anatomy and Physiology,Study human body systems organs tissues and physiological processes
Biology,200 Level,BIO202 - Ecology and Evolution,Learn population ecology community ecology evolutionary theory and natural selection
Biology,200 Level,BIO203 - Molecular Biology,Study DNA replication transcription translation and gene regulation
Biology,200 Level,BIO204 - Plant Biology,Explore plant structure function photosynthesis and plant reproduction
Biology,300 Level,BIO301 - Genetics and Genomics,Learn advanced genetics genomic analysis DNA sequencing and bioinformatics
Biology,300 Level,BIO302 - Immunology,Study immune system cells antibodies antigens and immune responses
Biology,300 Level,BIO303 - Developmental Biology,Explore embryonic development cell differentiation and developmental mechanisms
Biology,300 Level,BIO304 - Marine Biology,Learn marine ecosystems ocean life adaptations and marine conservation
Biology,400 Level,BIO401 - Biotechnology and Bioinformatics,Study genetic engineering recombinant DNA technology and computational biology
Biology,400 Level,BIO402 - Neuroscience,Explore nervous system brain structure neurotransmitters and neural signaling
Biology,400 Level,BIO403 - Conservation Biology,Learn biodiversity conservation endangered species and ecosystem management
Biology,400 Level,BIO404 - Microbial Genetics,Study bacterial genetics gene transfer plasmids and microbial evolution
Biology,500 Level,BIO501 - Advanced Molecular Biology,Study advanced gene regulation epigenetics and molecular techniques
Biology,500 Level,BIO502 - Systems Biology,Learn integrated biological systems computational modeling and systems-level analysis
Biology,500 Level,BIO503 - Biological Research Methods,Conduct independent biological research with focus on contemporary biological problems
Engineering,100 Level,ENG101 - Engineering Mathematics I,Study calculus differential equations and mathematical methods for engineering applications
Engineering,100 Level,ENG102 - Engineering Drawing and Design,Learn technical drawing CAD solid modeling and engineering design principles
Engineering,100 Level,ENG103 - Introduction to Engineering,Explore engineering disciplines problem-solving methods and professional ethics
Engineering,200 Level,ENG201 - Engineering Mathematics II,Study advanced calculus vector calculus and numerical methods for engineering
Engineering,200 Level,ENG202 - Mechanics of Materials,Learn stress strain elasticity and mechanical behavior of materials
Engineering,200 Level,ENG203 - Thermodynamics,Study laws of thermodynamics heat transfer and energy systems
Engineering,200 Level,ENG204 - Electrical Circuits and Systems,Learn circuit analysis AC DC circuits and electrical system fundamentals
Engineering,300 Level,ENG301 - Control Systems Engineering,Study feedback control system analysis stability and control design
Engineering,300 Level,ENG302 - Fluid Mechanics,Learn fluid properties flow analysis and applications in engineering
Engineering,300 Level,ENG303 - Digital Systems Design,Study logic design microprocessors digital circuits and embedded systems
Engineering,300 Level,ENG304 - Engineering Materials and Manufacturing,Explore material properties manufacturing processes and material selection
Engineering,400 Level,ENG401 - Power Systems and Renewable Energy,Study electrical power generation transmission distribution and renewable energy technologies
Engineering,400 Level,ENG402 - Structural Analysis and Design,Learn structural mechanics design principles and structural engineering applications
Engineering,400 Level,ENG403 - Robotics and Automation,Explore robot kinematics control systems sensors and industrial automation
Engineering,400 Level,ENG404 - Engineering Project Management,Study project planning scheduling budgeting and management techniques
Engineering,500 Level,ENG501 - Advanced Engineering Design,Learn advanced design methodologies optimization and innovative engineering solutions
Engineering,500 Level,ENG502 - Sustainable Engineering,Study sustainable design environmental impact and green engineering practices
Engineering,500 Level,ENG503 - Engineering Research and Innovation,Conduct independent engineering research with focus on contemporary engineering challenges
Business Administration,100 Level,BUS101 - Introduction to Business,Study business fundamentals organization types management and business environment
Business Administration,100 Level,BUS102 - Business Mathematics,Learn quantitative methods statistics and mathematical applications in business
Business Administration,100 Level,BUS103 - Principles of Management,Explore management functions planning organizing leading and controlling
Business Administration,200 Level,BUS201 - Financial Accounting,Study accounting principles financial statements and financial reporting
Business Administration,200 Level,BUS202 - Marketing Principles,Learn marketing concepts consumer behavior market research and marketing strategies
Business Administration,200 Level,BUS203 - Business Law,Study legal environment contracts torts and business regulations
Business Administration,200 Level,BUS204 - Organizational Behavior,Explore individual and group behavior motivation leadership and organizational culture
Business Administration,300 Level,BUS301 - Corporate Finance,Study capital budgeting financial analysis valuation and corporate financial management
Business Administration,300 Level,BUS302 - Strategic Management,Learn strategic planning competitive analysis and strategy implementation
Business Administration,300 Level,BUS303 - Human Resource Management,Study recruitment training compensation and employee relations
Business Administration,300 Level,BUS304 - Operations Management,Explore production planning inventory management quality control and supply chain
Business Administration,400 Level,BUS401 - International Business,Study global markets international trade foreign exchange and multinational corporations
Business Administration,400 Level,BUS402 - Entrepreneurship and Innovation,Learn startup creation business planning innovation and entrepreneurial mindset
Business Administration,400 Level,BUS403 - Business Analytics,Study data analysis business intelligence predictive modeling and decision support systems
Business Administration,400 Level,BUS404 - Supply Chain Management,Explore logistics procurement distribution and supply chain optimization
Business Administration,500 Level,BUS501 - Advanced Strategic Management,Study advanced strategy formulation competitive dynamics and strategic leadership
Business Administration,500 Level,BUS502 - Leadership and Change Management,Learn leadership theories organizational change and change management strategies
Business Administration,500 Level,BUS503 - Business Research Methods,Conduct independent business research with focus on contemporary business problems
Economics,100 Level,ECO101 - Principles of Microeconomics,Study supply and demand consumer theory market structures and resource allocation
Economics,100 Level,ECO102 - Principles of Macroeconomics,Learn national income unemployment inflation monetary and fiscal policy
Economics,100 Level,ECO103 - Introduction to Economic Theory,Explore economic principles models and analytical frameworks
Economics,200 Level,ECO201 - Intermediate Microeconomics,Study consumer choice production theory game theory and market failures
Economics,200 Level,ECO202 - Intermediate Macroeconomics,Learn aggregate demand aggregate supply economic growth and business cycles
Economics,200 Level,ECO203 - Money and Banking,Study monetary systems central banking financial institutions and monetary policy
Economics,200 Level,ECO204 - Economic Statistics,Learn statistical methods data analysis and econometric techniques
Economics,300 Level,ECO301 - Econometrics,Study regression analysis hypothesis testing and econometric modeling
Economics,300 Level,ECO302 - International Economics,Explore international trade exchange rates and global economic policies
Economics,300 Level,ECO303 - Development Economics,Learn economic development poverty inequality and development strategies
Economics,300 Level,ECO304 - Public Finance and Policy,Study taxation government spending public goods and fiscal policy
Economics,400 Level,ECO401 - Advanced Econometrics,Study time series analysis panel data methods and advanced econometric techniques
Economics,400 Level,ECO402 - Labor Economics,Learn labor markets wages employment discrimination and labor policy
Economics,400 Level,ECO403 - Environmental Economics,Explore environmental policy resource management and sustainable development
Economics,400 Level,ECO404 - Behavioral Economics,Study psychological factors in economic decision-making and behavioral models
Economics,500 Level,ECO501 - Advanced Economic Theory,Study advanced microeconomic and macroeconomic theory
Economics,500 Level,ECO502 - Game Theory and Strategic Behavior,Learn strategic interactions Nash equilibrium and game theory applications
Economics,500 Level,ECO503 - Economic Research Methods,Conduct independent economic research with focus on contemporary economic issues
Psychology,100 Level,PSY101 - Introduction to Psychology,Study psychological principles history research methods and major perspectives
Psychology,100 Level,PSY102 - Developmental Psychology,Learn human development across lifespan physical cognitive and social development
Psychology,100 Level,PSY103 - Research Methods in Psychology,Explore research design experimental methods data collection and statistical analysis
Psychology,200 Level,PSY201 - Cognitive Psychology,Study perception attention memory thinking and problem-solving processes
Psychology,200 Level,PSY202 - Social Psychology,Learn social influence attitudes persuasion group dynamics and interpersonal behavior
Psychology,200 Level,PSY203 - Biological Psychology,Explore brain structure neurotransmitters and biological basis of behavior
Psychology,200 Level,PSY204 - Abnormal Psychology,Study psychological disorders diagnosis treatment and mental health
Psychology,300 Level,PSY301 - Clinical Psychology,Learn psychological assessment psychotherapy and clinical interventions
Psychology,300 Level,PSY302 - Personality Psychology,Study personality theories trait psychology and personality assessment
Psychology,300 Level,PSY303 - Educational Psychology,Explore learning theories motivation instruction and educational assessment
Psychology,300 Level,PSY304 - Industrial and Organizational Psychology,Study workplace behavior employee selection training and organizational development
Psychology,400 Level,PSY401 - Neuropsychology,Learn brain-behavior relationships neurological disorders and cognitive rehabilitation
Psychology,400 Level,PSY402 - Health Psychology,Study health behavior stress illness prevention and health promotion
Psychology,400 Level,PSY403 - Counseling Psychology,Explore counseling theories techniques and professional practice
Psychology,400 Level,PSY404 - Forensic Psychology,Learn psychology and law criminal behavior and psychological assessment in legal contexts
Psychology,500 Level,PSY501 - Advanced Clinical Psychology,Study advanced psychotherapy techniques clinical supervision and evidence-based practice
Psychology,500 Level,PSY502 - Psychology Research and Dissertation,Conduct independent psychological research and complete dissertation project
Psychology,500 Level,PSY503 - Applied Psychological Assessment,Learn advanced assessment techniques test construction and psychometric theory
Literature,100 Level,LIT101 - Introduction to Literature,Study literary genres poetry prose drama and literary analysis techniques
Literature,100 Level,LIT102 - English Composition and Rhetoric,Learn academic writing argumentation research and rhetorical strategies
Literature,100 Level,LIT103 - World Literature I,Explore ancient and medieval literature from diverse cultures and traditions
Literature,200 Level,LIT201 - British Literature I,Study medieval Renaissance and Enlightenment British literature
Literature,200 Level,LIT202 - American Literature I,Learn colonial revolutionary and 19th-century American literature
Literature,200 Level,LIT203 - Literary Theory and Criticism,Explore critical approaches formalism structuralism post-structuralism and cultural studies
Literature,200 Level,LIT204 - Creative Writing,Develop skills in fiction poetry and creative nonfiction writing
Literature,300 Level,LIT301 - Shakespeare and Renaissance Drama,Study Shakespeare plays Renaissance theater and Elizabethan literature
Literature,300 Level,LIT302 - Modern and Contemporary Literature,Learn 20th and 21st-century literature modernism postmodernism and contemporary voices
Literature,300 Level,LIT303 - African Literature,Explore African authors themes and literary traditions from the African continent
Literature,300 Level,LIT304 - Poetry and Poetics,Study poetic forms techniques analysis and contemporary poetry
Literature,400 Level,LIT401 - Postcolonial Literature,Learn literature from postcolonial societies identity power and resistance themes
Literature,400 Level,LIT402 - Comparative Literature,Study literature across cultures languages and literary traditions
Literature,400 Level,LIT403 - Women Writers and Feminist Literature,Explore feminist theory women authors and gender in literature
Literature,400 Level,LIT404 - Digital Humanities and Literature,Learn digital tools text mining and computational approaches to literary studies
Literature,500 Level,LIT501 - Advanced Literary Studies,Study advanced literary theory criticism and specialized literary topics
Literature,500 Level,LIT502 - Literary Research and Thesis,Conduct independent literary research and complete thesis project
Literature,500 Level,LIT503 - Contemporary Critical Theory,Learn current theoretical approaches cultural studies and critical methodologies
